time,low,high,open,close,volume
1529280000,6401.41,6802.03,6457.78,6714.82,65285.57
1529366400,6672.2,6839.6,6714.56,6741.28,54949.84
1529452800,6569.96,6817.9,6741.28,6761.27,59674.47
1529539200,6687.66,6790.08,6761.27,6720.64,43765.89
1529625600,5941.32,6731.51,6720.64,6051.47,137346.53
1529712000,6033.2,6257.88,6051.47,6166.54,57011.61
1529798400,5782.13,6254.02,6166.36,6157.78,110833.06
1529884800,6095.25,6344.45,6157.78,6260.35,79086.4
1529971200,6067.49,6286.36,6260.4,6088.39,62925.3
1530057600,6021.69,6192.11,6092.26,6141.57,62639.82
1530144000,5844.26,6172.23,6141.57,5871.28,63585.51
1530230400,5813.02,6286.67,5870.81,6203.8,92884.98
1530316800,6194.51,6503.33,6203.81,6385.38,65571.19
1530403200,6262.72,6429.5,6385.43,6339.04,40809.54
1530489600,5537.86,6673.71,6342.69,6615.66,73069.19
1530576000,6473.48,6670.3,6616.6,6509.58,54662.02
1530662400,6411.13,6777.97,6508.43,6590.06,62355.75
1530748800,6448.23,6691.32,6589.77,6534.81,63771.67
1530835200,6458.14,6633.44,6534.81,6602.02,47259.68
1530921600,6518.23,6814.42,6602.03,6758.08,41785.1
1531008000,6684.15,6782.85,6758.08,6707.38,39671.12
1531094400,6625.58,6803.1,6707.46,6668.84,48761.43
1531180800,6277.23,6683.61,6668.84,6306.85,72513.31
1531267200,6293.68,6405.59,6306.87,6394.36,51054.67
1531353600,6084.0,6394.93,6394.36,6253.6,65555.38
1531440000,6131.54,6349.21,6253.66,6229.83,50964.41
1531526400,6190.18,6332.46,6229.61,6268.75,27713.18
1531612800,6245.75,6401.5,6268.32,6364.26,34225.9
1531699200,6349.83,6761.84,6364.26,6740.55,74798.53
1531785600,6677.56,7476.24,6740.54,7326.7,112707.21
1531872000,7253.71,7590.65,7326.76,7383.39,105818.71
1531958400,7289.9,7563.7,7383.39,7477.5,70179.39
1532044800,7279.34,7676.55,7477.1,7333.93,80874.93
1532131200,7220.37,7453.07,7333.93,7405.4,40295.77
1532217600,7345.25,7569.28,7405.4,7398.64,47479.76
1532304000,7376.66,7798.59,7398.64,7718.0,96722.04
1532390400,7692.16,8485.71,7718.0,8395.82,143800.43
